"year"|"milk.production"|"per.capita.availability"|"cooperatives"|"membership"|"artinsemination"
"1950-51"|17|130|||
"1955-56"|19|132|||
"1960-61"|20|126|||
"1968-69"|21.2|112|||
"1970-71"|||1.6|0.3|
"1973-74"|23.2|110|||
"1975-76"|25.4||4.5|0.6|820
"1976-77"|25.6||||
"1977-78"|28.4||||
"1978-79"|29.1||||
"1979-80"|30.4|125|||
"1980-81"|31.6|128|12|1.8|
"1981-82"|34.3|136|13.3||
"1982-83"|38.8|139|||
"1983-84"|41.5|147|||1350
"1984-85"|44|154|||
"1985-86"|46.1|160|42.7|4.5|
"1986-87"|46.7|164|||
"1987-89"|48.4|162|||
"1989-90"|51.4|165|||
"1990-91"|53.9|176|63.4|7.5|3940
"1991-92"|55.7|178|||
"1992-93"|58|182|||
"1993-94"|60.6|187|||
"1994-95"|63.8|194|69.8|8.99|
"1995-96"|66.2|197|69.6|9|
"1996-97"|69.1|202|||
"1997-98"|72.1|207|||18793
"1998-99"|75.4|213|87.76|10.5|20784
"1999-2000"|78.3|217|100.56|11.1|21260
"2000-01"|80.6|220|104.2|11.47|21324
"2001-02"|84.4|225|||19766
"2002-03"|86.2|230|||21519
"2003-04"|88.1|231||12|23835
"2004-05"|92.5|233|121.18|12.3|28225
"2005-06"|97.1|241||12.4|30940
"2006-07"|102.6|251|||32868
"2007-08"|107.9|260|139.7|13.84|36205
"2008-09"|112.2|266|140.8|14.19|40745
"2009-10"|116.4|273|144.7|14.48|45851
"2010-11"|121.8|281|144.2|14.46|50077
"2011-12"|127.9|290|148.9|14.78|41165
